1,17/08/13,1,11,1,3,A,1,1,D,1,16,9,4,4,15,18,4,3,4,5,1,0,2013-14
2,17/08/13,2,17,1,0,H,1,0,H,2,26,10,11,4,11,11,12,6,1,1,0,0,2013-14
3,17/08/13,3,12,2,2,D,0,0,D,3,8,19,2,6,13,10,6,8,2,0,0,0,2013-14
4,17/08/13,4,13,0,1,A,0,0,D,4,20,5,3,1,14,14,6,1,0,3,0,0,2013-14
5,17/08/13,5,20,1,4,A,0,2,A,5,17,15,6,7,13,10,7,4,1,3,0,0,2013-14
6,17/08/13,6,16,0,1,A,0,0,D,6,11,7,1,2,14,24,4,8,4,0,0,0,2013-14
7,17/08/13,7,18,2,0,H,1,0,H,7,18,12,4,1,10,7,4,3,0,1,0,0,2013-14
8,18/08/13,8,14,2,0,H,2,0,H,8,22,7,5,2,7,16,5,1,0,1,0,0,2013-14
9,18/08/13,9,19,0,1,A,0,0,D,9,5,17,3,2,6,9,3,7,1,0,0,0,2013-14
10,19/08/13,10,15,4,0,H,2,0,H,10,20,5,11,1,9,7,8,1,2,3,0,1,2013-14
11,21/08/13,8,11,2,1,H,1,1,D,6,15,7,3,3,12,13,1,2,1,4,0,0,2013-14
12,24/08/13,11,2,0,1,A,0,1,A,9,17,5,3,1,9,8,8,2,3,3,0,0,2013-14
13,24/08/13,12,6,0,0,D,0,0,D,11,22,7,8,2,14,15,11,1,1,1,0,0,2013-14
14,24/08/13,13,1,1,3,A,0,2,A,7,16,18,7,7,10,8,1,8,2,2,0,0,2013-14
15,24/08/13,14,3,1,0,H,1,0,H,12,6,13,1,4,14,19,1,5,1,1,1,0,2013-14
16,24/08/13,15,7,0,0,D,0,0,D,5,16,6,0,1,12,14,5,4,0,1,0,0,2013-14
17,24/08/13,16,4,1,1,D,0,1,A,25,17,8,6,3,12,13,5,2,2,2,0,0,2013-14
18,24/08/13,17,9,2,1,H,0,1,A,10,14,14,5,5,13,6,7,0,3,0,0,0,2013-14
19,25/08/13,18,10,3,2,H,0,0,D,14,9,16,6,5,2,9,3,8,0,0,0,0,2013-14
20,25/08/13,19,5,1,0,H,0,0,D,4,19,7,5,5,10,15,8,3,1,4,0,0,2013-14
21,26/08/13,20,8,0,0,D,0,0,D,2,13,8,3,4,9,9,4,1,0,2,0,0,2013-14
22,31/08/13,18,12,0,0,D,0,0,D,1,4,13,1,3,11,9,4,5,1,1,0,0,2013-14
23,31/08/13,9,4,3,1,H,1,0,H,14,17,10,6,2,6,6,6,6,1,0,0,1,2013-14
24,31/08/13,10,14,2,0,H,0,0,D,5,12,7,6,2,15,14,7,4,2,3,0,0,2013-14
25,31/08/13,15,13,1,0,H,0,0,D,15,24,3,9,2,13,9,13,2,2,2,0,0,2013-14
26,31/08/13,3,16,1,0,H,0,0,D,7,15,11,4,2,11,15,5,5,0,0,0,0,2013-14
27,31/08/13,7,17,0,1,A,0,0,D,8,9,15,0,5,10,12,3,4,2,1,0,0,2013-14
28,1/9/13,1,19,1,0,H,1,0,H,3,12,14,5,4,15,14,3,6,2,2,0,0,2013-14
29,1/9/13,2,20,1,0,H,1,0,H,10,10,10,5,4,15,15,2,7,2,4,0,0,2013-14
30,1/9/13,6,5,0,2,A,0,1,A,16,10,12,1,4,10,14,2,3,4,3,0,0,2013-14
31,14/09/13,11,15,1,2,A,0,1,A,16,10,17,1,8,9,11,4,2,1,4,0,0,2013-14
32,14/09/13,12,8,1,0,H,1,0,H,7,11,22,5,5,10,12,5,7,0,4,0,0,2013-14
33,14/09/13,13,6,1,1,D,1,0,H,14,12,12,2,4,9,12,4,5,0,1,0,0,2013-14
34,14/09/13,14,18,1,1,D,1,0,H,27,18,10,5,2,8,8,6,2,1,2,0,0,2013-14
35,14/09/13,20,9,2,0,H,1,0,H,8,19,4,7,0,8,11,10,1,1,2,0,1,2013-14
36,14/09/13,17,10,0,0,D,0,0,D,9,11,10,3,3,13,11,2,4,1,1,0,0,2013-14
37,14/09/13,4,1,1,3,A,0,1,A,2,17,14,2,6,12,10,6,7,1,2,0,0,2013-14
38,14/09/13,19,3,2,0,H,1,0,H,25,23,4,7,1,2,12,8,1,1,3,0,0,2013-14
39,15/09/13,16,7,0,0,D,0,0,D,10,15,6,5,1,12,10,10,4,1,3,0,0,2013-14
40,16/09/13,5,2,2,2,D,1,2,A,3,17,12,8,5,7,10,3,7,2,3,0,0,2013-14
41,21/09/13,8,13,2,0,H,0,0,D,10,26,4,10,1,11,9,13,3,0,0,0,0,2013-14
42,21/09/13,2,16,0,1,A,0,0,D,4,10,12,5,7,6,9,6,6,0,1,0,0,2013-14
43,21/09/13,15,14,2,3,A,2,1,H,2,15,12,2,5,11,8,3,3,1,1,0,0,2013-14
44,21/09/13,3,11,0,1,A,0,1,A,15,12,16,1,4,15,10,7,4,1,0,0,0,2013-14
45,21/09/13,6,4,3,0,H,1,0,H,5,13,7,4,0,9,10,5,6,0,2,0,0,2013-14
46,21/09/13,7,12,2,3,A,1,0,H,25,9,10,1,4,16,12,5,5,2,1,1,0,2013-14
47,22/09/13,1,17,3,1,H,2,1,H,16,16,9,8,3,8,15,6,7,0,2,0,0,2013-14
48,22/09/13,18,19,0,1,A,0,0,D,9,6,29,0,12,5,7,2,12,1,4,0,0,2013-14
49,22/09/13,9,5,0,2,A,0,1,A,6,9,15,1,7,13,9,6,7,2,2,0,0,2013-14
50,22/09/13,10,20,4,1,H,2,0,H,7,18,14,5,3,8,12,8,4,1,2,0,0,2013-14
51,28/09/13,11,10,3,2,H,0,1,A,12,8,20,4,7,13,9,2,13,1,1,0,0,2013-14
52,28/09/13,13,18,1,2,A,1,1,D,18,9,22,5,4,14,13,11,10,1,1,0,0,2013-14
53,28/09/13,14,7,1,0,H,1,0,H,6,9,18,2,5,11,12,6,6,1,2,0,0,2013-14
54,28/09/13,20,6,1,2,A,0,0,D,3,14,12,6,4,10,14,5,8,3,2,0,0,2013-14
55,28/09/13,16,9,2,0,H,0,0,D,2,12,8,3,0,11,12,8,2,1,2,0,0,2013-14
56,28/09/13,5,1,1,2,A,0,0,D,9,10,10,3,4,5,11,4,3,3,2,0,0,2013-14
57,28/09/13,19,8,1,1,D,1,0,H,16,12,11,4,5,14,14,4,5,5,1,0,1,2013-14
58,29/09/13,17,3,0,1,A,0,1,A,1,8,8,1,3,14,12,7,3,2,1,0,0,2013-14
59,29/09/13,4,2,1,3,A,0,2,A,7,23,15,5,6,8,10,10,8,2,1,0,0,2013-14
60,30/09/13,12,15,3,2,H,3,0,H,5,18,15,7,6,5,15,1,1,3,1,0,0,2013-14
61,5/10/13,18,15,1,2,A,0,2,A,6,8,20,2,10,11,8,3,3,1,0,0,0,2013-14
62,5/10/13,13,17,1,0,H,0,0,D,11,9,16,2,3,11,13,7,5,3,2,0,0,2013-14
63,5/10/13,14,11,0,0,D,0,0,D,9,6,18,1,4,7,11,7,7,2,1,0,0,2013-14
64,5/10/13,2,9,3,1,H,3,0,H,1,13,11,7,2,11,6,11,3,2,1,0,0,2013-14
65,5/10/13,10,12,3,1,H,2,1,H,8,12,6,6,4,15,10,8,1,5,4,0,0,2013-14
66,5/10/13,4,20,1,2,A,1,0,H,15,6,13,2,6,15,13,4,4,2,4,0,0,2013-14
